time,side,status,filled_quantity,symbol,asset.asset_type,asset.right,asset.strike,asset.expiration,price,type,asset.multiplier,trade_cost
2020-07-01 10:30:00-04:00,buy,new,,AXON,stock,,0.0,,,market,1,
2020-07-01 10:30:00-04:00,sell,new,,CARR,stock,,0.0,,,market,1,
2020-07-01 10:30:00-04:00,sell,new,,APA,stock,,0.0,,,market,1,
2020-07-01 10:30:00-04:00,buy,new,,AMZN,stock,,0.0,,,market,1,
2020-07-01 10:30:00-04:00,buy,new,,AJG,stock,,0.0,,,market,1,
2020-07-01 10:30:00-04:00,sell,fill,535.0,CMG,stock,,0.0,,21.6200008392334,market,1,0.0
2020-07-01 10:30:00-04:00,sell,fill,122.0,CDNS,stock,,0.0,,97.37999725341795,market,1,0.0
2020-07-01 10:30:00-04:00,sell,fill,521.0,BLDR,stock,,0.0,,20.25,market,1,0.0
2020-07-01 10:30:00-04:00,sell,fill,798.0,BKR,stock,,0.0,,13.546163020822034,market,1,0.0
2020-07-01 10:30:00-04:00,sell,fill,155.0,ALB,stock,,0.0,,72.93905253852554,market,1,0.0
2020-07-01 10:30:00-04:00,sell,fill,146.0,APTV,stock,,0.0,,76.62999725341797,market,1,0.0
2020-07-01 10:30:00-04:00,buy,fill,63.0,BA,stock,,0.0,,185.5800018310547,market,1,0.0
2020-07-01 10:30:00-04:00,buy,fill,129.0,AAPL,stock,,0.0,,89.20608278944812,market,1,0.0
2020-07-01 10:30:00-04:00,sell,fill,4.0,ADSK,stock,,0.0,,242.509994506836,market,1,0.0
2020-07-01 10:30:00-04:00,buy,fill,25.0,ADBE,stock,,0.0,,445.0,market,1,0.0
2020-07-01 10:30:00-04:00,sell,fill,3.0,ALGN,stock,,0.0,,279.1499938964844,market,1,0.0
2020-07-01 10:30:00-04:00,buy,fill,114.0,AXON,stock,,0.0,,100.2300033569336,market,1,0.0
2020-07-01 10:30:00-04:00,sell,fill,13.0,CARR,stock,,0.0,,21.43018200962506,market,1,0.0
